1,15
2,83
3,42
4,7
5,19
6,53
7,71
7,18
8,92
9,37
10,63
11,55
11,7
12,82
13,95
13,29
13,66
14,10
15,79
15,94
15,42
16,5
17,36
17,78
17,48
18,12
19,33
20,26
20,92
21,46
22,17
23,58
24,69
24,87
24,43
25,37
26,81
26,59
26,92
27,23
28,7
28,70
29,99
29,50
30,74
31,34
31,93
32,69
33,62
34,91
35,85
36,28
37,15
37,99
37,64
38,21
39,8
40,52
40,88
40,22
41,59
42,32
43,99
44,73
45,10
45,45
46,84
47,94
47,30
48,97
49,11
50,66
51,42
52,25
53,87
54,18
54,61
55,100
56,57
57,6
58,67
59,45
60,92
61,3
61,52
62,79
63,1
63,77
63,99
64,24
65,81
65,31
65,53
66,88
67,65
68,5
69,38
70,59
70,89
71,17
72,51
72,74
73,9
74,47
75,93
76,55
76,32
77,69
78,26
79,60
80,36
80,80
81,7
82,98
82,83
83,67
84,19
85,61
86,50
87,30
88,16
89,62
90,87
91,33
91,49
92,79
93,10
94,76
95,21
96,44
97,8
97,63
98,94
99,27
99,74
100,52
100,96
