1,8
2,16
3,7
4,23
5,14
6,30
7,11
8,4
9,18
10,26
11,12
12,31
13,5
14,27
15,13
16,32
17,22
18,10
19,9
20,28
21,3
22,15
23,29
24,2
25,33
26,6
27,25
28,1
29,19
30,20
31,17
32,34
33,21
34,24
35,10
36,32
37,12
38,28
39,7
40,22
41,4
42,26
43,14
44,11
45,9
46,15
47,6
48,13
49,3
50,25
51,8
52,31
53,5
54,27
55,33
56,18
57,23
58,1
59,20
60,30
61,16
62,2
63,21
64,17
65,34
66,19
67,31
68,24
69,26
70,13
71,9
72,11
73,4
74,23
75,15
76,12
77,29
78,5
79,3
80,8
81,32
82,21
83,33
84,18
85,27
86,6
87,28
88,25
89,22
90,2
91,1
92,7
93,16
94,14
95,30
96,20
97,19
98,34
99,27
100,15
