23,71
49,77
49,51
17,23
8,59
25,5
47,79
5,95
50,90
15,85
49,18
29,37
4,58
28,47
49,24
22,62
2,38
7,84
21,11
47,17
25,97
4,85
7,58
5,54
28,90
50,77
35,21
10,48
17,35
30,17
23,2
7,29
46,36
26,20
39,11
38,36
20,9
16,10
56,4
57,41
58,56
59,91
60,13
61,97
62,20
63,52
64,72
65,89
66,99
67,76
68,28
69,45
70,71
71,30
72,80
73,12
74,35
75,61
76,99
77,42
78,90
79,81
80,65
81,59
82,20
55,45
56,57
57,63
58,71
59,43
60,92
61,94
62,69
63,2
64,32
65,34
66,88
67,96
68,47
69,78
70,87
71,44
72,5
73,36
74,16
75,90
76,13
77,78
78,77
79,32
80,54
81,52
82,42
83,36
84,18
85,9
86,58
87,7
88,1
89,84
90,37
91,98
92,3
