32,79
17,65
58,26
93,22
41,89
6,49
12,85
20,88
63,84
70,57
48,98
51,25
38,99
2,61
36,28
34,68
16,74
43,95
52,8
97,13
75,59
46,71
50,83
15,40
42,5
67,80
56,72
24,78
77,18
30,11
31,55
9,60
35,73
14,91
29,92
39,4
23,53
90,7
1,76
66,21
3,86
94,69
45,10
54,87
62,27
19,37
44,81
47,96
64,33
57,82
26,100
34,73
22,66
91,58
12,90
77,45
3,28
99,19
47,82
25,89
62,18
97,71
35,54
30,79
24,65
10,95
56,80
85,75
90,15
38,33
20,45
87,7
11,43
59,34
62,28
81,50
77,27
12,52
58,41
17,32
39,88
60,84
92,46
63,72
53,9
73,2
29,51
96,25
18,42
83,57
13,98
44,31
64,26
47,70
5,66
78,91
36,48
49,99
55,40
22,67
