49,70
43,21
27,53
59,82
5,74
27,42
9,64
3,16
14,101
9,61
40,106
34,34
27,57
35,25
15,73
52,58
59,77
62,40
52,45
21,33
21,115
2,33
43,109
1,90
43,9
62,37
21,105
14,73
52,98
11,105
44,67
17,19
3,19
61,88
39,58
11,93
2,29
56,32
44,32
11,8
41,117
2,9
40,105
39,37
17,77
42,46
15,117
14,40
6,5
40,57
21,58
42,56
52,33
2,34
38,49
15,53
14,73
42,112
15,46
30,70
23,73
9,91
30,33
39,88
40,40
50,19
41,49
5,33
44,40
15,45
41,43
52,16
21,88
5,16
43,101
38,18
35,91
38,43
9,114
43,50
17,118
42,57
50,97
45,25
50,67
35,19
5,57
21,9
2,101
31,88
1,81
41,94
15,22
43,67
34,50
31,8
43,73
62,97
30,77
40,46
