27,53
81,14
76,11
20,83
57,77
29,50
17,64
38,49
90,61
21,89
62,23
50,47
11,72
50,31
34,22
77,71
21,56
67,41
63,12
86,30
4,32
20,69
60,20
25,8
17,55
42,39
63,97
76,24
1,82
45,5
97,81
61,32
92,46
63,74
10,60
68,96
99,47
81,66
11,36
57,16
33,62
98,42
67,1
16,81
5,56
92,87
34,51
77,15
35,70
48,52
99,85
84,64
63,58
25,64
37,21
17,59
89,28
39,20
46,24
32,62
87,41
2,47
19,6
93,21
70,15
28,45
36,48
95,89
74,34
66,39
59,93
79,17
83,57
56,4
96,46
53,32
60,21
38,23
15,45
25,23
56,97
66,87
30,97
70,3
79,11
45,10
55,61
22,62
40,85
47,37
68,16
94,33
50,35
18,94
7,72
11,95
